Date,high,low,open,close,kdjk,kdjd,rsi_6,rsi_12,macd,cci,wr_10,wma10,Point
2004/11/5,0.874415994,0.856631994,0.874415994,0.859596014,35.52937368,34.15282714,37.74450656,36.69903998,-0.028336726,-42.69000992,69.23066214,0.866871313,0
2004/11/8,0.867006004,0.849220991,0.859596014,0.861078024,29.88804892,32.7312344,39.30012736,37.33082955,-0.027410035,-54.13174017,67.3076462,0.866009062,0
2004/11/9,0.868488014,0.856631994,0.861078024,0.861078024,26.12716574,30.52987818,39.30012736,37.33082955,-0.026371629,-23.61600706,81.39460061,0.864715665,0
2004/11/10,0.911468029,0.858114004,0.867006004,0.901093006,44.54967521,35.20314386,69.21192857,52.54883365,-0.022065454,163.2835397,18.60530586,0.870832446,1
2004/11/11,0.912949979,0.887754977,0.905539989,0.889236987,50.63007838,40.34545537,58.89337644,48.72449833,-0.019385991,169.406614,37.20911527,0.874416351,0
2004/11/12,0.898128986,0.887754977,0.890718997,0.892201006,56.23400574,45.64163883,60.65320597,49.72242349,-0.016829328,125.4074009,32.55813953,0.87818886,0
2004/11/15,0.90405798,0.883309007,0.902575016,0.895165026,61.52028256,50.93452007,62.57582096,50.76768951,-0.014398011,113.8663747,27.9071638,0.882203864,0
2004/11/16,0.902575016,0.890718997,0.898128986,0.898128986,66.59476118,56.15460044,64.648641,51.85948932,-0.012092612,107.0577004,23.2562816,0.88611106,0
2004/11/17,0.902575016,0.878862023,0.898128986,0.883309007,62.22618305,58.17846131,48.52309856,46.26329064,-0.0113308,50.32416395,46.51097321,0.886784788,0
2004/11/18,0.886273026,0.878862023,0.883309007,0.884791017,60.08896025,58.81529429,50.01913924,46.88852851,-0.010486591,22.83111885,44.18548534,0.887593226,0
2004/11/19,0.907021999,0.884791017,0.886273026,0.899610996,65.49759974,61.04272944,62.94270757,52.87059498,-0.008523447,82.65467779,20.93079373,0.890692005,0
2004/11/22,0.907021999,0.895165026,0.90405798,0.899610996,68.8899862,63.65848169,62.94270757,52.87059498,-0.006888238,90.35294907,23.68512127,0.89306324,0
2004/11/23,0.899610996,0.883309007,0.899610996,0.887754977,54.62274298,60.64656879,48.49678071,47.75016751,-0.006474372,30.27780307,45.94611927,0.892578234,0
2004/11/24,0.896646976,0.877380013,0.887754977,0.880344987,39.74936667,53.68083475,41.37486913,44.79240264,-0.006667447,-5.654511064,91.66439051,0.890260923,0
2004/11/25,0.890718997,0.877380013,0.881826997,0.881826997,31.50034859,46.28733936,43.37077041,45.52857504,-0.006624511,-28.21961306,84.99768756,0.888590304,0
2004/11/26,0.889236987,0.878862023,0.881826997,0.880344987,24.33443708,38.96970527,41.66844052,44.87577347,-0.006633601,-57.90739699,89.99738594,0.886784957,0
2004/11/29,0.884791017,0.865523994,0.878862023,0.868488014,18.60381126,32.18107393,30.26394446,39.88448753,-0.007510983,-184.4762458,92.85744038,0.88303936,0
2004/11/30,0.874415994,0.859596014,0.865523994,0.868488014,18.65227901,27.67147563,30.26394446,39.88448753,-0.008112794,-179.725843,81.2507855,0.879778799,0
2004/12/1,0.869970024,0.861078024,0.867006004,0.862559974,14.5180708,23.28700735,25.28218067,37.40883835,-0.008964738,-162.9927938,93.75034562,0.87597934,0
2004/12/2,0.864041984,0.849220991,0.862559974,0.852185011,11.38803802,19.32068424,18.78721648,33.44529058,-0.010357685,-180.4030801,94.87202755,0.870670779,-1
